,gene_name,sequence
76,"-, 668,","[1, 0, 3, 2, 3, 1, 0, 2, 1, 1, 3, 1, 2, 0, 1, 0, 0, 1, 3, 3, 2, 1, 0, 3, 0, 0, 0, 3, 2, 1, 3, 3, 3, 1, 3, 3, 2, 3, 0, 2, 0, 1, 2, 3, 2, 1, 1, 1, 3, 0, 1, 2, 1, 2, 1, 3, 3]"
77,"-, 413,","[0, 2, 2, 0, 2, 2, 0, 0, 1, 3, 0, 1, 2, 1, 0, 0, 2, 2, 3, 3, 2, 2, 0, 0, 1, 0, 3, 1, 2, 2, 0, 2, 0, 2, 0, 3, 2, 1, 1, 0, 2, 1, 1, 0, 2, 1, 2, 1, 0, 1, 1, 3, 2, 1, 0, 1, 2]"
78,"-, 991,","[3, 1, 3, 1, 0, 0, 1, 0, 0, 2, 0, 3, 3, 0, 0, 1, 1, 2, 0, 1, 0, 2, 0, 3, 3, 1, 0, 0, 3, 1, 3, 1, 2, 3, 2, 2, 0, 3, 2, 2, 0, 1, 2, 3, 3, 1, 0, 0, 1, 0, 3, 3, 2, 0, 2, 2, 0]"
79,"-, 751,","[3, 2, 0, 0, 2, 3, 2, 1, 3, 3, 0, 2, 1, 3, 3, 1, 0, 0, 2, 2, 3, 1, 0, 1, 2, 2, 0, 3, 0, 1, 2, 0, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 1, 3, 1, 2, 3, 1, 1, 3, 1, 0, 0, 3, 2, 2]"
80,"-, 850,","[1, 3, 0, 3, 0, 3, 2, 1, 2, 1, 3, 1, 0, 3, 0, 1, 2, 0, 3, 0, 3, 2, 0, 0, 1, 2, 3, 3, 2, 0, 2, 0, 1, 3, 2, 1, 1, 2, 1, 3, 2, 0, 2, 3, 3, 0, 3, 1, 0, 2, 1, 3, 2, 3, 2, 0, 0]"
81,"-,  93,","[2, 1, 2, 2, 1, 0, 2, 1, 0, 1, 2, 3, 3, 3, 1, 1, 0, 1, 2, 1, 2, 2, 3, 2, 0, 2, 0, 2, 1, 1, 3, 1, 0, 2, 2, 0, 3, 3, 1, 0, 3, 2, 3, 1, 2, 0, 3, 2, 3, 1, 3, 3, 1, 1, 2, 2, 3]"
82,"-,1108,","[0, 3, 1, 1, 1, 3, 0, 0, 3, 2, 3, 1, 3, 0, 1, 3, 3, 1, 1, 2, 2, 3, 1, 0, 0, 3, 1, 1, 0, 3, 1, 3, 0, 1, 2, 3, 3, 0, 0, 1, 1, 2, 0, 2, 2, 3, 2, 2, 1, 3, 0, 3, 2, 3, 2, 3, 0]"
83,"-, 915,","[3, 2, 2, 1, 2, 3, 1, 3, 0, 3, 1, 2, 2, 3, 2, 0, 0, 1, 1, 3, 1, 1, 2, 2, 3, 0, 3, 1, 0, 0, 1, 2, 1, 3, 2, 2, 0, 0, 2, 2, 3, 2, 0, 1, 2, 1, 3, 0, 0, 1, 2, 1, 0, 2, 0, 3, 2]"
84,"-,1019,","[3, 1, 3, 1, 2, 3, 2, 2, 0, 3, 2, 2, 0, 1, 2, 3, 3, 1, 0, 0, 1, 0, 3, 3, 2, 0, 2, 2, 0, 0, 2, 2, 1, 0, 3, 0, 0, 1, 2, 1, 3, 0, 1, 3, 0, 1, 1, 3, 2, 0, 3, 2, 3, 3, 3, 0, 1]"
85,"-,  19,","[3, 0, 3, 3, 2, 2, 1, 3, 3, 2, 1, 3, 1, 0, 0, 2, 1, 0, 3, 2, 0, 0, 1, 3, 1, 0, 0, 2, 2, 1, 3, 2, 0, 3, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 3, 3, 2, 1, 2, 0, 2, 1, 1, 3, 3, 2, 3]"
86,"-,1320,","[3, 0, 2, 0, 2, 2, 2, 3, 2, 3, 0, 1, 3, 1, 1, 0, 0, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 3, 2, 0, 2, 2, 1, 3, 0, 2, 0, 1, 2, 3, 1, 3, 1, 3, 2, 1, 0, 3, 2, 2, 0, 2, 3, 0, 3, 2]"
87,"-,  91,","[1, 0, 2, 1, 2, 2, 1, 0, 2, 1, 0, 1, 2, 3, 3, 3, 1, 1, 0, 1, 2, 1, 2, 2, 3, 2, 0, 2, 0, 2, 1, 1, 3, 1, 0, 2, 2, 0, 3, 3, 1, 0, 3, 2, 3, 1, 2, 0, 3, 2, 3, 1, 3, 3, 1, 1, 2]"
88,"-, 217,","[3, 3, 0, 1, 2, 3, 3, 2, 2, 1, 2, 0, 1, 1, 2, 1, 3, 0, 2, 2, 0, 1, 3, 3, 3, 1, 3, 3, 2, 3, 3, 2, 0, 3, 3, 3, 3, 1, 1, 0, 3, 2, 1, 2, 2, 3, 2, 3, 3, 3, 3, 2, 1, 2, 1, 0, 0]"
89,"-, 957,","[0, 1, 2, 1, 3, 0, 0, 1, 2, 1, 0, 2, 0, 3, 2, 1, 0, 2, 1, 2, 0, 0, 1, 2, 1, 3, 1, 2, 2, 1, 2, 3, 0, 3, 3, 1, 3, 1, 0, 0, 1, 0, 0, 2, 0, 3, 3, 0, 0, 1, 1, 2, 0, 1, 0, 2, 0]"
90,"-, 260,","[2, 2, 3, 2, 3, 3, 3, 3, 2, 1, 2, 1, 0, 0, 3, 2, 3, 3, 0, 0, 3, 1, 2, 1, 3, 3, 3, 2, 3, 0, 1, 0, 1, 1, 3, 1, 0, 2, 2, 1, 0, 3, 2, 3, 0, 0, 0, 1, 2, 3, 1, 3, 3, 1, 2, 3, 0]"
91,"-, 557,","[0, 0, 1, 1, 0, 3, 3, 1, 1, 2, 2, 3, 3, 2, 0, 1, 3, 1, 0, 0, 3, 2, 0, 2, 1, 0, 3, 1, 3, 1, 2, 0, 3, 2, 1, 0, 2, 1, 2, 3, 0, 1, 3, 1, 1, 3, 0, 1, 0, 3, 2, 0, 0, 3, 0, 2, 0]"
92,"-,1355,","[0, 2, 0, 1, 2, 3, 1, 3, 1, 3, 2, 1, 0, 3, 2, 2, 0, 2, 3, 0, 3, 2, 0, 2, 0, 3, 2, 2, 0, 1, 3, 0, 1, 2, 2, 3, 2, 2, 2, 3, 0, 1, 0, 0, 3, 0, 3, 2, 1, 3, 2, 2, 0, 3, 2, 2, 0]"
93,"-, 244,","[3, 2, 3, 3, 2, 0, 3, 3, 3, 3, 1, 1, 0, 3, 2, 1, 2, 2, 3, 2, 3, 3, 3, 3, 2, 1, 2, 1, 0, 0, 3, 2, 3, 3, 0, 0, 3, 1, 2, 1, 3, 3, 3, 2, 3, 0, 1, 0, 1, 1, 3, 1, 0, 2, 2, 1, 0]"
94,"-, 464,","[3, 2, 1, 0, 1, 2, 2, 2, 3, 3, 2, 1, 2, 0, 3, 0, 2, 1, 1, 3, 1, 0, 2, 1, 2, 3, 0, 3, 3, 1, 0, 2, 2, 3, 2, 1, 2, 0, 2, 3, 3, 1, 2, 0, 3, 0, 2, 3, 1, 3, 1, 0, 2, 0, 2, 3, 1]"
95,"-, 296,","[0, 2, 2, 1, 0, 3, 2, 3, 0, 0, 0, 1, 2, 3, 1, 3, 3, 1, 2, 3, 0, 2, 1, 2, 1, 0, 3, 1, 0, 2, 3, 2, 1, 3, 3, 3, 1, 3, 3, 0, 1, 3, 2, 3, 2, 0, 2, 3, 0, 1, 2, 1, 0, 1, 1, 0, 2]"
96,"-, 648,","[1, 1, 2, 0, 2, 3, 0, 2, 0, 1, 1, 1, 3, 3, 0, 2, 0, 2, 0, 2, 1, 0, 3, 2, 3, 1, 0, 2, 1, 1, 3, 1, 2, 0, 1, 0, 0, 1, 3, 3, 2, 1, 0, 3, 0, 0, 0, 3, 2, 1, 3, 3, 3, 1, 3, 3, 2]"
97,"-, 230,","[1, 2, 1, 3, 0, 2, 2, 0, 1, 3, 3, 3, 1, 3, 3, 2, 3, 3, 2, 0, 3, 3, 3, 3, 1, 1, 0, 3, 2, 1, 2, 2, 3, 2, 3, 3, 3, 3, 2, 1, 2, 1, 0, 0, 3, 2, 3, 3, 0, 0, 3, 1, 2, 1, 3, 3, 3]"
98,"-,1163,","[3, 0, 3, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 2, 3, 1, 0, 0, 3, 1, 0, 2, 0, 1, 1, 2, 1, 3, 3, 3, 2, 0, 1, 3, 1, 3, 2, 2, 3, 0, 3, 3, 0, 1, 3, 2, 3, 2, 0, 0, 1, 0, 3, 3, 0, 3, 3]"
99,"-,1321,","[0, 2, 0, 2, 2, 2, 3, 2, 3, 0, 1, 3, 1, 1, 0, 0, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 3, 2, 0, 2, 2, 1, 3, 0, 2, 0, 1, 2, 3, 1, 3, 1, 3, 2, 1, 0, 3, 2, 2, 0, 2, 3, 0, 3, 2, 0]"
100,"-, 663,","[2, 0, 2, 0, 2, 1, 0, 3, 2, 3, 1, 0, 2, 1, 1, 3, 1, 2, 0, 1, 0, 0, 1, 3, 3, 2, 1, 0, 3, 0, 0, 0, 3, 2, 1, 3, 3, 3, 1, 3, 3, 2, 3, 0, 2, 0, 1, 2, 3, 2, 1, 1, 1, 3, 0, 1, 2]"
101,"-, 799,","[1, 1, 3, 1, 0, 0, 3, 2, 2, 1, 1, 3, 1, 3, 0, 0, 0, 1, 2, 2, 2, 3, 1, 3, 3, 2, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 1, 3, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 1, 3, 0, 3, 0, 3]"
102,"-, 987,","[2, 3, 0, 3, 3, 1, 3, 1, 0, 0, 1, 0, 0, 2, 0, 3, 3, 0, 0, 1, 1, 2, 0, 1, 0, 2, 0, 3, 3, 1, 0, 0, 3, 1, 3, 1, 2, 3, 2, 2, 0, 3, 2, 2, 0, 1, 2, 3, 3, 1, 0, 0, 1, 0, 3, 3, 2]"
103,"-,1226,","[1, 2, 1, 2, 0, 1, 3, 0, 1, 2, 0, 3, 2, 0, 2, 0, 3, 2, 1, 1, 3, 2, 0, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 3, 0, 1, 3, 2, 2, 0, 3, 3, 2, 3, 1, 0, 1, 1, 0, 0, 2, 2, 1, 3, 3, 1, 1]"
104,"-, 794,","[1, 3, 1, 2, 3, 1, 1, 3, 1, 0, 0, 3, 2, 2, 1, 1, 3, 1, 3, 0, 0, 0, 1, 2, 2, 2, 3, 1, 3, 3, 2, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 1, 3, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 1]"
105,"-,1442,","[3, 0, 0, 1, 0, 3, 3, 0, 0, 3, 0, 0, 0, 3, 0, 0, 2, 2, 0, 2, 2, 1, 3, 1, 3, 0, 0, 3, 2, 2, 1, 0, 1, 3, 1, 0, 3, 3, 0, 2, 1, 1, 0, 0, 3, 1, 0, 0, 3, 1, 0, 0, 2, 0, 0, 1, 3]"
